İL,YAPILAN ÇALIŞMA,BAYRAK ADEDİ
ADANA,TOPLANTI,5000
ANKARA,TOPLANTI,20000
AFYONKARAHİSAR,TOPLANTI,10750
AĞRI,TOPLANTI,3150
AKSARAY,TOPLANTI,10000
AMASYA,TOPLANTI,2200
KONYA,TOPLANTI,5000
ANTALYA,TOPLANTI,2500
ARDAHAN,TOPLANTI,1000
ARTVİN,TOPLANTI,1000
ORDU,TOPLANTI,18000
BALIKESİR,TOPLANTI ,50000
BARTIN,TOPLANTI,5000
AYDIN,DUYURU,1000
BAYBURT,TOPLANTI,500
BİLECİK,TOPLANTI,2230
BİNGÖL,TOPLANTI,3900
BİTLİS,TOPLANTI,4000
BOLU,DUYURU,2500
BURDUR,TOPLANTI,2000
BURSA,DUYURU,12200
ÇANAKKALE,TOPLANTI,15000
ÇANKIRI,TOPLANTI,18000
ÇORUM,TOPLANTI,5000
DENİZLİ,DUYURU,20000
İZMİR,DUYURU,20000
DÜZCE,TOPLANTI,1000
EDİRNE,TOPLANTI,10000
ELAZIĞ,TOPLANTI,2000
ERZİNCAN,TOPLANTI,3500
ERZURUM,TOPLANTI,30000
ESKİŞEHİR,DUYURU,10000
ADIYAMAN,TOPLANTI,2500
GİRESUN,TOPLANTI,1000
GÜMÜŞHANE,TOPLANTI,2500
HAKKARİ,TOPLANTI,4500
HATAY,TOPLANTI,1900
IĞDIR,TOPLANTI,700
ISPARTA,TOPLANTI,1700
İSTANBUL,TOPLANTI,40000
BATMAN,TOPLANTI,50000
KAHRAMANMARAŞ,TOPLANTI,7500
KARABÜK,TOPLANTI,4000
KARAMAN,TOPLANTI,1000
KARS,TOPLANTI,5000
KASTAMONU,TOPLANTI,3500
KAYSERİ,TOPLANTI,20000
DİYARBAKIR,TOPLANTI,75000
KIRKLARELİ,TOPLANTI,10000
KIRŞEHİR,TOPLANTI,10000
GAZİANTEP,TOPLANTI,60000
KOCAELİ,TOPLANTI,13000
KİLİS,TOPLANTI,2500
KÜTAHYA,TOPLANTI,15500
MALATYA,TOPLANTI,5000
MANİSA,DUYURU,5000
MARDİN,TOPLANTI,2000
MERSİN,TOPLANTI,1700
MUĞLA,DUYURU,10000
MUŞ,TOPLANTI,1000
NEVŞEHİR,TOPLANTI,1800
NİĞDE,TOPLANTI,15000
SİİRT,TOPLANTI,2500
OSMANİYE,TOPLANTI,1350
RİZE,TOPLANTI,4500
SAKARYA,TOPLANTI,15000
SAMSUN,TOPLANTI,85000
ŞANLIURFA,TOPLANTI,100000
SİNOP,TOPLANTI,5000
ŞIRNAK,TOPLANTI,8000
KIRIKKALE,TOPLANTI,10000
SİVAS,TOPLANTI,20000
TEKİRDAĞ,TOPLANTI,10000
TOKAT,TOPLANTI,10000
TRABZON,TOPLANTI,7000
TUNCELİ,TOPLANTI,1500
UŞAK,TOPLANTI,3000
VAN,TOPLANTI,7000
YALOVA,TOPLANTI,4100
YOZGAT,TOPLANTI,1500
ZONGULDAK,TOPLANTI,4660
