İL,GÖNÜL SOFRASI,SAHUR PROGRAMI,İFTAR PROGRAMI,ÇAT KAPI ZİYARET,YARDIM DAĞITIMI,"ŞEHİT GAZİ AİLELERİ, STK, ESNAF, KIRAATHANE, YAŞLI, HASTA, ENGELLİ ZİYARETLERİ",CAMİ ÇALIŞMALARI,"MAHALLE / KÖY, TAZİYE, MEZARLIK ZİYARETLERİ",ÜYE ARAMA VE MESAJ ÇALIŞMALARI,TOPLAM ULAŞILAN KİŞİ
ADANA,"116,900","73,250","10,325",,"3,625","67,265","28,650",,,"300,015"
ADIYAMAN,"4,000",180,"3,800",,"9,800",450,"5,970",,,"24,200"
AFYONKARAHİSAR,"8,041","3,849","48,180","9,755","3,000","6,170","9,405",,,"88,400"
AĞRI,"1,000",150,"20,450","13,500","5,200","2,250",300,,,"42,850"
AKSARAY,"1,500",500,"3,900","2,500","2,900","2,200",,"4,000",,"17,500"
AMASYA,400,350,"1,250",,"1,100",,"1,500",,,"4,600"
ANKARA,"315,936","24,370","156,750",,,"38,000",,,,"535,056"
ANTALYA,"25,000","7,000","50,000","12,000","35,500","356,000",,,,"485,500"
ARDAHAN,"1,000",500,"6,900",,,"1,450","1,500",,,"11,350"
ARTVİN,"3,000","1,500","1,000",,,"1,000","2,000","2,000",,"10,500"
AYDIN,"16,000","8,000","20,000","10,930","17,200","38,930","30,650",,,"141,710"
BALIKESİR,"1,157",624,"50,000","4,795","9,081","4,380","25,000",,,"95,037"
BARTIN,500,200,"24,000",,700,525,,,,"25,925"
BATMAN,"9,360",425,"16,100",,"44,640",480,"52,300",320,,"123,625"
BAYBURT,800,250,400,200,,120,"2,000",,,"3,770"
BİLECİK,"2,000",600,"19,350","1,800","2,250","3,250",,,,"29,250"
BİNGÖL,450,350,"7,700",530,,"1,830",,,,"10,860"
BİTLİS,"4,150","4,000","16,000","1,900","90,000","5,050","55,200","2,000",,"178,300"
BOLU,"14,450","7,000","8,640",,500,,,,,"30,590"
BURDUR,"1,120",100,80,"1,000",,,,,,"2,300"
BURSA,"56,430","2,430","89,925",,,"69,400",,,,"218,185"
ÇANAKKALE,"6,100","13,584","24,587","5,900","5,750","7,070",,,,"62,991"
ÇANKIRI,"20,500","1,500","11,250",,"9,000","17,700","18,500",400,,"78,850"
ÇORUM,"2,920",230,"14,765","1,235","4,735","4,483","7,770",,,"36,138"
DENİZLİ,"12,948",829,"74,806","15,256","7,855","14,578","10,660","16,737","4,606","158,275"
