İL,YAPILMASI GEREKEN TOPLAM ÜYE,YÖNETİM KURULU YAPMASI GEREKEN ÜYE SAYISI,YÖNETİM KURULU ÜYELERİ TARAFINDAN REFERANS OLUNAN YENİ ÜYE SAYISI,YAPILAN YENİ ÜYE SAYISI,SİLİNEN  ÜYE SAYISI,MEVCUT ÜYE,HEDEFE ULAŞMA ORANI
ADANA,"10,459","8,280","1,352","2,032","3,783","323,561",19%
ADIYAMAN,"12,999","4,590","2,521","3,752",713,"74,153",29%
AFYONKARAHİSAR,"14,813","7,320","1,015","1,199",930,"92,177",8%
AĞRI,"4,650","4,650",786,958,494,"65,631",21%
AKSARAY,"8,106","3,810",342,361,455,"45,981",4%
AMASYA,"5,866","3,660",637,832,540,"48,405",14%
ANKARA,"29,664","13,170","1,918","44,672","16,258","952,184",151%
ANTALYA,"22,122","10,215","2,962","4,086","3,003","268,357",18%
ARDAHAN,"2,385","2,385",461,471,106,"12,408",20%
ARTVİN,"3,825","3,825",368,540,492,"29,458",14%
AYDIN,"16,279","8,745","2,133","2,589","1,407","106,532",16%
BALIKESİR,"21,155","9,660","3,411","3,694","1,779","138,864",17%
BARTIN,"3,185","2,520",220,267,327,"26,156",8%
BATMAN,"4,568","3,315","4,929","6,938","1,166","67,535",152%
BAYBURT,"2,256","1,635",415,453,155,"14,505",20%
BİLECİK,"4,448","3,600",928,"1,356",449,"26,288",30%
BİNGÖL,"3,630","3,630",936,"1,149",311,"39,894",32%
BİTLİS,"3,750","3,750","2,563","2,630",565,"53,978",70%
BOLU,"5,994","3,975",283,309,410,"36,437",5%
BURDUR,"5,239","4,680",693,906,406,"29,903",17%
BURSA,"48,708","9,960","2,565","3,727","4,160","366,856",8%
ÇANAKKALE,"8,724","5,295",710,919,871,"64,711",11%
ÇANKIRI,"4,515","4,515","2,134","2,425",621,"38,955",54%
ÇORUM,"7,576","5,520","1,192","1,577","1,028","90,237",21%
DENİZLİ,"16,581","8,010","1,275","1,795","1,551","125,718",11%
DİYARBAKIR,"8,955","8,955","4,737","5,601","1,138","145,930",63%
DÜZCE,"8,005","3,990",452,479,636,"50,617",6%
EDİRNE,"4,365","4,365",478,913,543,"45,601",21%
ELAZIĞ,"7,878","4,755",868,"1,110",962,"89,464",14%
ERZİNCAN,"3,975","3,975",260,299,434,"38,209",8%
ERZURUM,"9,301","8,520","2,037","2,313","1,359","122,610",25%
ESKİŞEHİR,"12,442","5,895",628,"1,622","1,448","95,871",13%
GAZİANTEP,"20,085","5,325","12,996","13,875","2,880","313,265",69%
GİRESUN,"8,332","6,495",327,482,866,"71,741",6%
GÜMÜŞHANE,"2,985","2,985",161,233,234,"24,524",8%
HAKKARİ,"3,060","3,060","1,932","2,667",427,"34,451",87%
HATAY,"16,799","8,925","2,709","3,654","1,743","159,224",22%
IĞDIR,"2,610","2,610",498,586,268,"25,143",22%
ISPARTA,"5,265","5,265","1,315","2,664",797,"60,558",51%
İSTANBUL,"152,965","27,225","1,027","19,365","19,057","2,040,716",13%
