İL,İL_KATEGORİSİ,KATEGORİ_GRUP,KATEGORİ_KATSAYI,NÜFUS,TOPLAM_PUAN,TOPLAM_KATSAYI,UYELIK_HAM_PUAN,UYELIK_FINAL_PUAN,UYELIK_AGIRLIK,DANISMA_HAM_PUAN,DANISMA_FINAL_PUAN,DANISMA_AGIRLIK,RAMAZAN_HAM_PUAN,RAMAZAN_FINAL_PUAN,RAMAZAN_AGIRLIK,BAYRAK_HAM_PUAN,BAYRAK_FINAL_PUAN,BAYRAK_AGIRLIK,GENEL_SIRALAMA
BATMAN,Orta İl,Orta İl,1.15,654528,77.47,10.0,38.0,38.0,40.0,30.0,30.0,30.0,9.5,9.47,20.0,0,0,10.0,1
MARDİN,Orta İl,Orta İl,1.15,870374,75.23,10.0,38.0,38.0,40.0,28.5,28.5,30.0,8.7,8.73,20.0,0,0,10.0,2
BİTLİS,Küçük İl,Küçük İl,1.3,353988,66.0,10.0,24.0,24.0,40.0,22.0,22.0,30.0,20.0,20.0,20.0,0,0,10.0,3
KİLİS,Küçük İl,Küçük İl,1.3,147919,65.84,10.0,33.0,33.0,40.0,28.5,28.5,30.0,4.3,4.34,20.0,0,0,10.0,4
ÇANKIRI,Küçük İl,Küçük İl,1.3,195766,64.94,10.0,19.0,19.0,40.0,30.0,30.0,30.0,15.9,15.94,20.0,0,0,10.0,5
ANKARA,Mega İl,Mega İl,1.0,5864049,62.51,10.0,33.0,33.0,40.0,24.0,24.0,30.0,5.5,5.51,20.0,0,0,10.0,6
ŞANLIURFA,Büyük İl,Büyük İl,1.08,2213964,60.79,10.0,34.0,34.0,40.0,23.8,23.78,30.0,3.0,3.01,20.0,0,0,10.0,7
HAKKARİ,Küçük İl,Küçük İl,1.3,275333,60.53,10.0,26.0,26.0,40.0,30.0,30.0,30.0,4.5,4.53,20.0,0,0,10.0,8
TOKAT,Orta İl,Orta İl,1.15,596454,58.99,10.0,26.0,26.0,40.0,28.5,28.5,30.0,4.5,4.49,20.0,0,0,10.0,9
GAZİANTEP,Büyük İl,Büyük İl,1.08,2154051,57.83,10.0,24.0,24.0,40.0,30.0,30.0,30.0,3.8,3.83,20.0,0,0,10.0,10
SİİRT,Küçük İl,Küçük İl,1.3,331311,53.66,10.0,23.0,23.0,40.0,23.5,23.5,30.0,7.2,7.16,20.0,0,0,10.0,11
ISPARTA,Küçük İl,Küçük İl,1.3,445325,52.73,10.0,18.0,18.0,40.0,30.0,30.0,30.0,4.7,4.73,20.0,0,0,10.0,12
ŞIRNAK,Orta İl,Orta İl,1.15,557605,52.41,10.0,28.0,28.0,40.0,20.4,20.4,30.0,4.0,4.01,20.0,0,0,10.0,13
VAN,Orta İl,Orta İl,1.15,1135749,50.73,10.0,16.0,16.0,40.0,30.0,30.0,30.0,4.7,4.73,20.0,0,0,10.0,14
DİYARBAKIR,Büyük İl,Büyük İl,1.08,1804880,49.87,10.0,21.0,21.0,40.0,24.0,24.0,30.0,4.9,4.87,20.0,0,0,10.0,15
